Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/27,Sunday,TIKTOK,360,Social Media
8/27,Sunday,INSTAGRAM,67,Social Media
8/27,Sunday,YOUTUBE,60,Entertainment
8/27,Sunday,MESSAGE,24,Social Media
8/28,Monday,TIKTOK,154,Social Media
8/28,Monday,INSTAGRAM,116,Social Media
8/28,Monday,GMAIL,2,Education
8/29,Tuesday,TIKTOK,134,Social Media
8/29,Tuesday,INSTAGRAM,119,Social Media
8/29,Tuesday,CALCUATOR,13,Education
8/30,Wednesday,TIKTOK,121,Social Media
8/30,Wednesday,INSTAGRAM,108,Social Media
8/30,Wednesday,YOUTUBE,86,Entertainment
8/31,Thursday,TIKTOK,119,Social Media
8/31,Thursday,INSTAGRAM,95,Social Media
8/31,Thursday,SNAPCHAT,86,Social Media
9/1,Friday,TIKTOK,236,Social Media
9/1,Friday,INSTAGRAM,127,Social Media
9/1,Friday,YOUTUBE,18,Entertainment
9/2,Saturday,TIKTOK,543,Social Media
9/2,Saturday,INSTAGRAM,58,Social Media
9/2,Saturday,MESSAGE,3,Social Media
